CancerType	BTLA	CD200	TNFRSF14	NRP1	LAIR1	TNFSF4	CD244	LAG3	ICOS	CD40LG	CTLA4	CD48	CD28	CD200R1	HAVCR2	ADORA2A	CD276	KIR3DL1	CD80	PDCD1	LGALS9	CD160	TNFSF14	IDO2	ICOSLG	TMIGD2	VTCN1	IDO1	PDCD1LG2	HHLA2	TNFSF18	BTNL2	CD70	TNFSF9	TNFRSF8	CD27	TNFRSF25	VSIR	TNFRSF4	CD40	TNFRSF18	TNFSF15	TIGIT	CD274	CD86	CD44	TNFRSF9
KICH	0.0739378520111239	0.112313156472094	0.827730142606951	0.0532232174848194	0.203348445076499	0.558698458808646	0.361454282789693	0.0138400712960391	0.202320733253684	0.164016284928548	0.00589931652310909	0.447010276838187	0.00442607273664841	0.019506464334397	0.960734120820045	0.910673950254432	0.00331143939144585	0.665649378297118	0.72024287132767	0.0533930975949824	0.627778207828552	0.409380027280071	0.384311814454914	0.401803998393393	0.660357649136964	0.282791056969547	0.641149405521751	0.908478943178921	0.0138919247830309	0.570989879055137	0.708019845061431	0.665584676636925	0.000232838588565628	0.00145872289209087	0.431687025582429	0.000248322764051397	0.0658615819966527	0.676665290039226	0.910287039906105	0.665453895116293	0.144527271723626	0.601359229517755	0.157075112361998	0.801496748722397	0.626206670694259	0.0246980517506819	0.0829535592077242
KIRC	2.02435682876692e-09	0.000238547767598924	8.1500416164333e-08	0.661005588293404	2.76649202290086e-10	7.92021124187031e-25	0.00137785948127811	2.92614946769799e-09	5.8837237587726e-10	0.508883701334649	4.309839484208e-10	0.25713362031925	4.30300899146718e-07	5.47759358695132e-08	0.796683673385147	0.470600847537142	7.44255323941833e-10	0.000985489821975727	1.15638163673198e-25	2.44293347269659e-06	0.0162047586416892	0.000838034564194034	0.0118253099788408	0.00186749187951148	0.399374337976485	0.0716807286941455	0.756925959704277	0.0452732400953852	1.15650640761991e-19	9.11031614605031e-07	0.03844625334816	0.0337402210270552	0.268950582029359	0.347545660490649	3.07820530487602e-08	0.000576862581861129	0.280705897670457	0.00273415187144719	0.000218236368689877	0.744616611408255	0.00654204260615361	0.000157804620195086	1.11700439288618e-10	2.19728990061093e-08	2.02360031165622e-07	6.22873710871256e-22	4.52322750372722e-13
KIRP	0.00020770867150483	0.081666901127659	4.36591043783577e-10	0.948744535649125	0.0186286750672966	0.0265912108753779	0.0282777601161075	0.00124272084208329	0.03317700426835	0.211772079557999	0.017609295110855	0.0189318967634497	0.85717023419403	0.151371022937599	1.55552065891229e-05	0.820424526617817	0.00134748369924509	0.664191577656362	0.000690413081320245	0.00406992108607603	0.339622125074078	0.0381092595459329	0.0618948231355227	0.000959193671866439	0.0192735232035609	0.703087101512876	0.261264125697927	5.73141121697652e-08	0.00289203820301212	0.00735871027755442	0.218775768097187	0.37108668820804	0.0332325658742728	0.105308569391544	0.0551968292890852	0.022460385426164	0.333188315140682	0.0122640753868058	0.0157592950856222	0.70500343498975	0.609290898203642	0.00635659087340079	0.000157931830708292	0.941102308773631	0.0291112993648028	0.00218950207148434	3.46764228710181e-05
LAML	0.146321859463814	0.05168149268116	0.0266376620880796	0.163162964586724	0.617769524250722	0.188524359640219	0.25801494029474	0.000550344692134364	0.0153557317977477	0.204483688331812	0.00338305619536875	0.0567298923727861	0.0176200527121757	0.55141178420602	0.0112441457193487	0.580966784366183	0.186341777805732	0.000252465433159274	0.233544300992454	0.00312762723909398	0.0123406432800111	0.000792476938323214	0.289185644849297	0.0266957581985892	0.132115528161308	0.472118773964219	0.177758742480411	0.220588006224034	0.2508168817592	0.1097204275212	0.174870827786941	0.0143233039469864	0.851092148514284	0.398043425518614	3.95872072736778e-05	0.0186303616447954	0.0152410109456549	2.77315239673089e-05	0.0294006628938229	0.0104442593394746	0.249221318190918	0.785584791936483	0.248943296470127	0.407257827302923	0.0687850464510719	0.000731168559258361	0.690430393014646
LGG	0.822172645162286	0.0462924842486015	0.296475764861197	8.66320648506196e-22	0.967543904063391	0.801043284713209	0.522478854166723	5.77455219846075e-05	0.0179472336943072	0.00460553838436092	0.379847587352638	0.00272689730709761	0.0669766391835426	0.294345195134077	0.891311901341756	9.31046601668461e-06	3.74372596427677e-36	0.386125845701346	0.000130124645298558	0.0783952785433011	0.588494469616272	1.01230794367931e-07	0.112955591566058	0.570679730606894	0.952630496285331	0.004520311562987	7.46620140286099e-08	2.53210984022588e-06	0.0306065007465244	1.13777695359826e-08	0.0568677112820251	0.891211749307728	0.00557812985165137	0.00243587016714248	0.0684293402206451	0.00256260974623742	0.0101673660802515	1.4631315058077e-15	0.00283651567482755	0.255279356133157	0.323564596189526	0.0340772290303748	0.175412893756371	0.343850361577886	0.269342951066834	0.647603354552935	0.745740416786374
LIHC	0.0150988849672356	0.00236936613890427	0.000271310795247599	2.06263782773172e-05	1.06625212119852e-11	5.70975177695363e-13	0.0160132474868848	4.9122768525737e-05	1.86759202332624e-06	0.885699666663757	4.67794960956721e-06	0.0619710394465336	2.55217434201572e-05	8.33790714975e-07	3.21320571982232e-08	0.18641402298578	4.6342040271126e-18	0.506081986003089	7.21901172119192e-07	4.04979084724966e-06	3.73657627218634e-06	0.238484912720164	0.7800757925943	0.137228176272953	0.332299548725435	0.0198443189585882	0.000467992052934707	0.0111516982504347	0.000327174026896289	0.016532644685005	0.00106387953898118	0.0246543958224049	2.23909874838347e-05	0.00166235313890668	9.3223112028558e-08	0.000995054708251179	0.000583723043267132	0.0237788730395311	0.00456173229659347	0.0111202434894164	0.000317302079643723	0.000506817023780408	6.85850300316709e-06	3.78687742887051e-05	1.25710550375374e-08	0.00727292122551567	0.00204013527860918
LUAD	0.957581687142602	0.230932045979046	4.72276259411255e-10	0.240488654459041	0.943476904169717	3.29835124157939e-13	0.444707156355987	0.000135902845858995	0.0116386412265948	7.7743839682471e-10	0.0007389105924687	0.00442264109034806	0.81263104818147	0.517797556105251	0.147507207097354	0.203756164748737	0.00130383095918413	0.00624639318874658	0.00117086998517192	0.0138820066299449	4.02760376240646e-08	0.000638287749093416	6.95928455171622e-05	0.0867377036469564	0.609851382948069	0.663199873498431	0.53709409346269	5.32071243171965e-08	2.93942176741261e-08	4.45200810014963e-05	0.534337826806237	0.0315688767899775	0.000137380504347191	0.140945618899827	0.282499750474713	0.00367808020861672	0.0196328549539715	3.8745809328578e-06	0.395773565013303	0.786837516247461	0.0912217037504851	4.46907377821381e-08	0.00391528764523637	2.18971422668422e-14	0.0310599342770783	0.00794435269475294	5.38740650912211e-09
LUSC	3.86236672400341e-05	0.269090629873364	5.71429656147051e-06	7.81908716282908e-07	2.98948003656533e-06	0.194265741845281	0.0116588671205302	0.127746033808178	7.00354829806134e-05	2.30749117410818e-09	0.00680782865249554	4.34998650543052e-05	1.15844890766296e-07	0.000180987676920521	1.969896768638e-06	0.210750878480406	0.893495833406354	0.154684300081215	0.00246499502668271	0.00177324978776402	0.0573442516931003	0.032622337349103	5.88707874077942e-08	0.653469821410218	0.809554283027671	1.11385044605661e-05	0.501557525349601	0.854964927952667	0.38336213489986	0.00196144365866001	0.106660790129341	0.383283136077982	0.593459188132855	0.140439216131602	0.25532846202741	2.21191793807397e-06	0.918312970207246	2.50810871076978e-17	2.49873196128371e-05	0.011278026474233	0.392058880426036	0.521389965271779	0.0105929215887748	0.185615690839771	9.86814452579984e-06	0.00484793186308532	0.0337233048307375
MESO	0.177396578351442	0.000444292524330762	0.0831218097435375	6.80668848652268e-07	0.0322217361401393	4.8091110807674e-06	0.675438240040653	0.72717177298079	0.151170745844454	0.0861671274982352	0.141398510447305	0.878403877934744	0.796290505878063	0.058760887949224	0.175884374669117	0.0344853664629315	0.000562808982944775	0.0235418917585807	0.00302254193098992	0.207495017475628	0.415005783356956	0.511450646256827	0.0477225736647643	0.382168996872455	0.734485753922714	0.461422779128995	0.436457660853636	0.117302710686966	0.000249601603957776	0.148367607223762	0.0148201737943325	0.722559806630077	0.0236858894576538	0.0482757283712723	0.0715111212433071	0.210267240853959	0.245746805603857	7.02412188971601e-08	0.203762856950525	0.849944706609516	0.684393703557198	0.943774725753824	0.0577220190377467	0.00304351699386147	0.116774834591737	0.0281923809921415	0.0300241080325335
OV	0.315060817555845	0.00456574847849823	0.949954047693688	0.0005588591911281	0.0221909780562297	0.700864990812235	0.493090585094598	0.0101783266567639	0.0209841619613554	0.315724526843927	0.0145678527080742	0.190830001533166	3.91718249575499e-05	0.128124770572604	0.00566203422707748	0.000237331061387372	0.000231174864273341	0.446756022262764	9.51270174011502e-07	0.154331128585185	0.987589880233681	0.00777405228757476	0.376589656187511	0.119572299729006	0.337962325558752	0.808370183485631	0.00640717158157631	0.0522941840737519	0.00817047188340079	0.20563521626864	0.0219073540356853	0.808041974511198	0.942722840896834	0.771093206661067	0.041399580444016	0.73796189142683	0.0317085317346819	0.290864990632755	0.516431540583141	0.93096639309646	0.70182419504332	0.865547759569068	0.120627421828363	0.000112099429395159	0.0220409941741207	7.59207852137432e-05	0.00167434324247759
PAAD	0.725117552711532	0.000216727862537546	0.00375197299645968	0.805225338959592	0.70451453204323	0.200101086658234	0.431195115027941	0.00402220314275227	0.362287559145182	0.409750984986602	0.273882022779063	0.256495054804283	0.475842332721851	0.395934214314159	0.312259354106132	0.0558349792484414	0.000116393823323367	0.593170692862185	0.0201325288134626	0.552234156925198	5.33708099098336e-05	0.757152787963122	0.848386301978399	0.159101946064573	0.0751986653354565	0.636428623292776	0.998096065569503	0.00112179331186128	0.00182925151467565	0.148855701556146	0.628371022090364	0.954696230686566	0.00374188741105623	0.00130252745942868	0.769563766147019	0.729641573831054	0.0702986956645268	0.125931726633294	0.757844329055043	0.00680858184681308	0.00406238243284399	0.00244849246017269	0.678141418860694	1.59483538350207e-07	0.129839640736001	5.49867505311082e-07	0.000981174098272047
PCPG	0.0464051127719387	0.67322510972011	0.0197025417430434	0.181347504704013	0.902207613045019	0.503458629293291	0.0897152877033638	0.183640062000589	0.862067106754339	0.0893427869501874	0.460755584953425	0.150972815343821	0.237284758748951	0.41744982724574	0.976712718739394	0.762241775191644	0.00798559877264171	0.0278306618127938	0.304344291633376	0.721887624857618	0.0278105002954217	0.000380846928812074	0.242624117658929	0.0359123615259243	0.826720976880154	0.432798947030882	0.453638561892704	0.135728983032451	0.950740475169474	0.111175464252411	0.142852054585066	0.368410686544922	0.0060345984196069	0.102616194227028	0.961529382174464	0.135637121713458	0.0166093579040607	0.0513382214736362	0.0393056563982155	0.0161769373256569	0.00645959842009211	0.00129436037672245	0.359231928756703	0.677513268501495	0.852232346512799	0.0803651852653594	0.972168226186472
PRAD	7.64646032839791e-11	0.720975111471424	2.43408125713271e-12	1.49230518235112e-15	1.8110451212759e-07	0.0264729941849206	0.00504910077852629	0.810610238603489	8.10503392121911e-10	3.42628038274333e-05	1.29439173858217e-05	0.000704039986826667	2.15176326191489e-06	1.01521120346324e-09	4.65996758890394e-12	1.1293784342875e-07	4.2464040058016e-08	0.0423855481664277	5.29088287224965e-17	0.000247523327910334	0.0377303153712235	0.0126792987313013	0.000427578640649476	0.464919347180199	0.000509991986121938	0.533593736042153	0.00440902687355967	6.06618366311748e-06	1.88865694956439e-06	0.000210133073720755	3.26419303677235e-11	0.000286234678386472	8.37616836081589e-08	0.753408384978258	4.18161959776615e-06	6.01377199766718e-05	0.770589928903098	0.00172584586020424	0.134762365011655	0.00211463126742763	0.00238879234656478	0.019053513418706	5.24891332802909e-10	0.00653194777555666	6.53938678431142e-11	0.000876477916684187	6.84631457644242e-13
READ	0.238416739905009	0.828942773403322	3.0960076553415e-05	0.580025956453476	0.196212593924677	0.924027332836853	0.595972442595966	0.66836374310535	0.0317209217631773	0.659439826898013	0.132146223791086	0.414674197691766	0.922860068575679	0.734403817441354	0.836475914700445	0.00483200064822451	0.893949077234847	0.910920168926568	0.0514627761670856	0.37986940406011	0.107952850805889	0.288304556870592	0.00528936872809268	0.546840215775929	0.222299194366391	0.218157105659565	0.449828435592316	0.00373276871943547	0.289292411830234	0.0107420199552195	0.120987491764752	0.328719958186966	0.484171525011831	0.455793793728201	0.14296116322047	0.027401762523401	0.283083193785179	0.00639190137769367	0.00010147830701219	0.349821821753593	0.00162543002447255	0.686771979128037	0.671646375189911	0.00197046553376551	0.328854822975535	0.00643278315141225	0.22917630030937
SARC	0.328746842445206	0.45969774476202	0.000197623762251314	0.326435576489965	0.000388288728329392	0.170541040953007	0.744480294005355	0.971696812987672	0.546864716319635	0.000415520804662872	0.714451223789688	0.00351456579043896	0.00418105886229812	0.0828832768923656	0.013516084987521	9.73931490066451e-05	0.94010337832607	0.321264886438868	0.0279681803171626	0.281577554451431	3.76448856313216e-06	0.511533768367805	0.0108858903913737	0.225944273618817	0.679555608371329	1.38351915415347e-05	9.04558416283442e-05	0.431554204733645	0.418572589071569	0.222131178148053	0.475984227224465	0.102131993645969	0.350080641337541	0.497485211442698	6.88954832834279e-08	0.135556058405693	0.000131517429794657	1.88382534332011e-06	9.02583491409977e-06	0.0147012124279864	0.000135900950963618	0.630689529812623	0.875595567755548	0.00267182064271969	0.0158197823379529	0.716130770010791	0.466671464498511
SKCM	0.523086096325187	0.612480852046477	0.420577230098014	0.0202611408216677	0.458753237141024	0.00874200290747271	0.329452760795718	0.544853198136473	0.0896027061645285	0.501928924094338	0.149468584192188	0.865457539014542	0.701607928738964	0.562540749750535	0.534624853781132	0.203212937415793	0.610238649539833	0.909835780630206	0.011779521219423	0.140110481589565	0.0283197193968004	0.590318958503758	0.0192160022781295	0.35720151888106	0.00574352101357273	0.546939585292837	0.129324729894207	0.189372131592444	0.00183010738456617	0.156131790991091	0.678132437262473	0.144302409214261	0.0270168176864659	0.00756935899968701	0.00983297016720221	0.0572311050139123	0.0752086935178865	8.32533637148319e-07	0.000165953950176629	0.093303654599693	2.65602884943151e-05	0.129536098510438	0.931442665709404	0.00837839328404038	0.276794180469551	0.733525120626196	0.632829766538916
STAD	0.0522816420112296	0.000211505619966391	0.262053735272276	0.0185894323304564	0.0191719575881992	0.577327157109997	0.0756246865231215	0.0416577705953375	0.0317750923661033	0.0274195987660068	0.000440960051340773	4.65292318994478e-05	0.0225053714165514	0.0797740034879906	0.854972250737392	0.367837318878637	0.00571472748850478	0.23444080237853	1.5686161821212e-05	0.272399958861665	0.895453778542607	0.0123808145911468	0.0102675794449143	0.711112218688205	0.649780106489854	0.667646522068696	0.0769988490758153	0.000171676812795383	0.749951157044282	0.559099184111352	0.373708574222881	0.72447414475609	0.469777870568724	0.519659161359605	0.792482315197585	0.00302381068024737	1.25735598526823e-10	2.24882376298637e-09	0.451648054043876	0.995996129925441	0.0359517283191585	0.489870309779758	0.579755813008447	3.11538663628158e-07	0.418770739646757	0.149475624497779	0.147178977018831
TGCT	0.0834372389236406	6.63495235741806e-07	3.67212020727013e-11	0.124493648783033	3.34862164720695e-06	2.97821013758425e-06	0.000477073858778063	0.000183560680557396	0.00350627387881735	3.36664310610265e-08	1.20832600058063e-06	4.86522835381513e-10	0.00011820988095932	0.0415420287721835	6.28095702151672e-05	2.87617746849452e-08	1.91381269904602e-06	0.795756689915618	0.00313857859751641	1.54545410679525e-05	8.38540814801402e-10	0.00963322961918986	7.98911754069691e-06	2.39889171590134e-05	0.263439671769839	0.000762866551642272	0.0402594617392689	3.51680903966911e-05	8.7623540835417e-07	0.402989371882562	0.00142130994673865	0.00728434525220904	0.669176461602709	0.606941641441921	0.0486024491128458	2.97317961322354e-06	1.96247784803591e-08	3.56940164954133e-07	2.13817957842318e-08	1.12648178737876e-08	2.18929701871333e-10	0.286700639590237	0.000339336823982072	4.25163606724243e-05	1.28426929026191e-06	1.33687214778624e-07	0.0206618754829396
