ID	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	CancerType
TCGA-OR-A5LA-01A	0.0475846168696509	0	0.0204539946434716	0.159650449667869	0	0.181784205770673	0	0	0.0128875201601774	0.0124639464301555	0	0.0417292876323966	0.0126653424992546	0	0.0333847867414824	0.29755769933584	0	0.00653903091666329	0.173299119332366	0	0	0	ACC
TCGA-OR-A5JE-01A	0	0	0	0.037069049128611	0	0.0532043785711233	0	0.0265487830215354	0.00822163717947258	0	0	0.0347085359633871	0.193205729639418	0	0	0.251078769400824	0	0.212022953169943	0	0.0826798063299794	0.101260357595707	0	ACC
TCGA-OR-A5JZ-01A	0.0219101051599268	0	0	0.120511222970455	0	0.246592092670404	0	0	0	0	0	0.0815240785351696	0.0352650799623778	0.0199487413603541	0.0196665102055243	0.307881055720264	0	0.0583918229606595	0.0861532213162702	0	0	0.00215606913859478	ACC
TCGA-OR-A5KT-01A	0.106672417047555	0	0.0735914152182046	0.167433302300992	0	0.107217443622571	0	0.00446299012294458	0	0	0.0592656185861607	0.0022174682136472	0.0779696476512938	0.0125838857612947	0.0330355961288851	0.289361987146858	0	0	0.0262192569605818	0	0.023089385328512	0.0168795859105004	ACC
TCGA-OR-A5KZ-01A	0.0436920851903551	0	0.00360564735014735	0.105220167617447	0	0.148483608957027	0.0263995216919634	0.0186207253711938	0	0.00153044087000369	0.0414931878457503	0	0.0019817174641512	0.209557448681702	0.0961471033717721	0.24619097924026	0.0550986101492889	0	0.00197875619893887	0	0	0	ACC
TCGA-OR-A5LJ-01A	0	0.0264946005284365	0	0.27723270890415	0	0.142035881872211	0	0.0789989529786286	0	0	0	0.0508831527253847	0.0652266427239319	0	0.0767921152911061	0.149255068202762	0	0.0930716732220213	0.0400092035513678	0	0	0	ACC
TCGA-OR-A5J2-01A	0.0397187400381051	0	0.0362365416153165	0.097334099657959	0	0.183622067608418	0	0.0268071342163942	0.0139377132290956	0.00672857079672105	0	0.0167895615115458	0.0227118624474712	0.104810588687391	0.040555548192104	0.305276294706151	0	0.0693914371852393	0.0360798401080877	0	0	0	ACC
TCGA-OR-A5K6-01A	0.0420594642812626	0	0.00966063667905573	0.0242316537831057	0	0.167301533328505	0	0.00104411437814281	0	0	0.00789469562526372	0.0575901893952484	0.182964705359363	0.0674456469350543	0.00867027076774208	0.233483066278484	0	0.0796328316037456	0	0.063720263405081	0.0543009281799471	0	ACC
TCGA-OR-A5JY-01A	0	0.0138657697423271	0	0	0	0.151010089473041	0.00298718498523549	0.0130636781685479	0	0	0	0.0176052873003242	0.208966213629267	0	0	0.172160950459121	0.0245065809421087	0.310487005193343	0.0424356501972535	0	0.026294655616713	0.0166169342927184	ACC
TCGA-PK-A5H8-01A	0	0	0.00156614765630422	0.013433382127417	0	0.129319809891104	0	0	0	0	0	0.0385604793612474	0.185471092302013	0	0	0.476674105449169	0	0.0464314706527612	0	0.0298400535214282	0.0745731247415477	0.00413033429700867	ACC
